EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
216,mu+,69.100237,0.000000,-0.357405,-92.099900,0.112844,86.925428,-88.478454,0.026515,-0.998208,0.053636
712,gamma,1.078360,0.000000,0.572486,-92.099900,0.271979,95.375094,-86.179172,0.066344,-0.993390,-0.093676
1036,mu+,68.297338,0.000000,0.384586,-92.099900,0.252749,90.222482,-89.417041,0.010174,-0.999941,-0.003883
1308,mu+,68.150080,0.000000,-0.405613,-92.099900,-0.039894,88.435730,-94.521514,-0.078804,-0.996516,0.027298
2121,mu+,69.752143,0.000000,0.696307,-92.099900,0.286858,86.988981,-87.843603,0.037575,-0.997912,0.052528
2346,mu+,71.017476,0.000000,0.718891,-92.099900,-0.058549,84.237089,-89.233250,0.013314,-0.994857,0.100412
2082,mu+,67.922708,0.000000,-0.572764,-92.099900,-0.168252,88.167927,-90.693536,-0.012098,-0.999416,0.031970
2384,anti_nu_mu,68.539530,0.000000,-0.132180,-92.099900,-0.091149,97.695263,-65.556626,0.410067,-0.902172,-0.133904
2094,e-,1.056834,0.000000,0.134298,-92.099900,0.012098,102.704204,-137.934831,-0.724209,-0.653573,-0.219918
2728,mu+,73.611784,0.000000,0.383149,-92.099900,0.145161,90.481439,-92.560475,-0.044672,-0.998966,-0.008403
2759,e+,128.141384,0.000000,0.703952,-92.099900,-0.219508,93.685712,-95.685721,-0.098867,-0.993022,-0.064283
3299,mu+,71.837554,0.000000,0.668147,-92.099900,-0.346948,87.033881,-89.693944,0.005334,-0.998646,0.051745
4642,mu+,71.388552,0.000000,0.331581,-92.099900,-0.261808,97.141949,-89.472855,0.009129,-0.992199,-0.124328
5729,mu+,65.405211,0.000000,-0.301778,-92.099900,0.107593,90.081778,-90.874397,-0.015260,-0.999883,-0.001427
5755,mu+,73.077135,0.000000,0.168992,-92.099900,0.139351,91.879331,-89.278532,0.012585,-0.999383,-0.032795
6095,mu+,69.104080,0.000000,0.420183,-92.099900,-0.003720,88.465292,-93.869103,-0.067453,-0.997363,0.026783
6194,mu+,71.255569,0.000000,-0.389412,-92.099900,-0.059299,90.090418,-88.635877,0.023806,-0.999715,-0.001578
6577,mu+,68.609648,0.000000,-0.132165,-92.099900,0.172321,86.918362,-91.606752,-0.027999,-0.998161,0.053759
7012,mu+,70.140227,0.000000,0.695674,-92.099900,0.192041,89.494505,-85.705081,0.074887,-0.997153,0.008822
7205,mu+,72.746061,0.000000,0.237223,-92.099900,0.278170,88.836001,-91.971192,-0.034390,-0.999202,0.020314
7091,mu+,66.901686,0.000000,0.060999,-92.099900,-0.050074,91.755030,-89.632029,0.006419,-0.999510,-0.030626
7212,mu+,70.525320,0.000000,-0.038954,-92.099900,0.191065,91.629121,-92.173672,-0.037913,-0.998877,-0.028430
7587,mu+,68.084342,0.000000,0.251420,-92.099900,0.328091,88.601570,-90.784135,-0.013681,-0.999609,0.024405
8105,mu+,72.898817,0.000000,0.102857,-92.099900,0.072396,90.796236,-89.284351,0.012489,-0.999825,-0.013896
9341,mu+,72.347365,0.000000,0.251227,-92.099900,0.273963,82.767271,-90.056653,-0.000981,-0.992042,0.125900
